date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2013-01-28,14.8907,34081579.19943,184.881603,0.137648,0.118711,1.374318,-0.287403
2013-01-29,15.1845,34193350.019735,226.666667,0.155491,0.107686,1.388331,-0.28549
2013-01-30,15.1044,34257551.736915,185.377202,0.157279,0.110733,1.400874,-0.300187
2013-01-31,15.4176,34324081.75097,174.497817,0.196248,0.147916,1.365024,-0.291531
2013-02-01,16.074,34438363.5619,193.42252,0.168431,0.194373,1.520964,-0.265648
2013-02-04,16.449,34630411.75877,216.985763,0.137527,0.160863,1.483534,-0.23842
2013-02-05,17.2929,34897420.06189,183.473181,0.090567,0.235065,1.533625,-0.141603
2013-02-06,17.0518,35171101.607195,165.966203,,0.238195,1.540442,-0.05931
2013-02-07,16.7839,35387966.436875,119.980945,0.084604,0.212235,1.566847,0.03209
2013-02-08,16.8107,35649603.98062,109.071772,0.12833,0.200576,1.571319,0.105727
2013-02-18,16.516,35864214.091555,92.193553,0.077282,0.114875,1.446135,0.210009
2013-02-19,15.7793,36014543.518115,43.524352,0.111353,0.039077,1.852771,0.294014
2013-02-20,15.8061,36218829.257175,17.312496,0.15908,0.046971,1.80332,0.350217
2013-02-21,14.9622,36403377.8853,-16.544118,0.153525,-0.031979,1.801978,0.40207
2013-02-22,14.8684,36553463.62905,-40.829659,0.153137,-0.080921,1.802419,0.452718
2013-02-25,15.1363,36664056.932175,-30.966475,0.15219,-0.08595,1.926767,0.53626
2013-02-26,14.855,36793188.35249,-48.571045,0.213791,-0.151263,1.854962,0.564739
2013-02-27,15.1095,36955739.819685,-47.91927,0.21139,-0.122342,1.838891,0.634634
2013-02-28,15.7927,37113111.94938,-14.996134,0.172752,-0.063508,1.785831,0.727919
2013-03-01,15.7793,37231652.45876,-4.770184,0.1997,-0.06597,1.822638,0.790103
2013-03-04,14.4264,37250755.69314,-102.254968,0.21343,-0.136221,1.914695,0.820522
2013-03-05,14.5737,37261431.568145,-125.29294,0.330225,-0.082554,1.698608,0.820183
2013-03-06,14.4398,37267668.4244,-116.44664,0.407944,-0.093389,1.644649,0.796133
2013-03-07,14.346,37221150.99628,-113.93119,0.424747,-0.044695,1.62975,0.797883
2013-03-08,14.2656,37131498.70097,-102.197971,0.460038,-0.044023,1.626456,0.77628
2013-03-11,14.0915,36971545.58691,-113.757759,0.529428,-0.074842,1.583929,0.730943
2013-03-12,14.4532,36800312.375975,-79.473362,0.69119,-0.029377,1.469008,0.675155
2013-03-13,14.1451,36638976.46348,-91.833695,0.733218,-0.069217,1.398209,0.549866
2013-03-14,14.1049,36494448.513485,-91.103892,0.534836,-0.115469,1.404863,0.441348
2013-03-15,14.1987,36347639.44005,-78.648233,0.508936,-0.108237,1.410954,0.342111
2013-03-18,13.9843,36208797.350205,-89.459889,0.46046,-0.03336,1.400877,0.257594
2013-03-19,14.0915,36110419.3713,-87.969349,0.429356,-0.035993,1.397065,0.15493
2013-03-20,14.6139,36005344.679895,-29.871977,0.383151,0.013129,1.334344,0.076862
2013-03-21,14.6407,35959648.202555,11.487965,0.37522,0.022376,1.339232,0.017316
2013-03-22,14.6005,35920063.80256,-3.07574,0.320842,0.025583,1.287905,-0.038303
2013-03-25,14.5469,35856806.47991,11.79941,0.220975,0.035262,1.289097,-0.094468
2013-03-26,14.3058,35796495.32913,-43.125724,0.227273,-0.011098,1.275621,-0.178733
